ICEberg_338	CMGI-3
ICEberg_339	ICE(Tn4371)6064
ICEberg_340	ICE(Tn4371)6065
ICEberg_341	ICEAdeBC-1
ICEberg_342	ICEBglBSR3-1
ICEberg_343	ICEBmu17616-1
ICEberg_344	ICEBsa18170-1
ICEberg_345	ICEBxyXB1A-1
ICEberg_346	ICEHinB
ICEberg_347	ICEhinR2866
ICEberg_348	ICEHin299
ICEberg_349	ICEHpa8f
ICEberg_350	ICEHpaT3T1
ICEberg_351	ICESauTCH1516-1
ICEberg_352	ICESauFPR3757-1
ICEberg_353	ICESauED98-1
ICEberg_354	ICESa1
ICEberg_355	ICESa2
ICEberg_356	ICESauST398-4
ICEberg_357	ICESauMRSA252-1
ICEberg_358	Tn6012
ICEberg_359	ICESauCOL-1
ICEberg_360	ICESenTy2-1
ICEberg_361	ICESpa15912-1
ICEberg_364	Tn5253
ICEberg_372	ICESpnP1031-1
ICEberg_373	ICESpn6706B-1
ICEberg_374	HPI-ICEEh1
ICEberg_375	ICEPm1
ICEberg_376	ICEEfaV583-1
ICEberg_377	ICESa2603
ICEberg_378	ICESdy12394-1
ICEberg_379	ICESthJIM8232-1
ICEberg_380	ICESpa43144-1
ICEberg_381	ICEDda3937-1
ICEberg_384	ICEPaePA14-1
ICEberg_386	CTnPg1-a
ICEberg_387	CTnPg1-b
ICEberg_388	CTnPg2
ICEberg_389	CTnPg3
ICEberg_390	ICEBvu8482-1
ICEberg_391	ICEBvu8482-2
ICEberg_392	ICEB2
ICEberg_393	ICEB-1
ICEberg_395	TnSmu1
ICEberg_396	ICEHpyP12-1
ICEberg_397	ICEHpyP12-2
ICEberg_398	CTn1
ICEberg_399	CTn2
ICEberg_400	CTn4
ICEberg_401	CTn5
ICEberg_402	CTn6
ICEberg_403	CTn7
ICEberg_405	YAPI(ye)
ICEberg_406	YAPI
ICEberg_407	YAPI(IP32777)
ICEberg_408	ICESpy10394-1
ICEberg_409	ICESp1108
ICEberg_410	ICEFma29328-1
ICEberg_411	ICEAurCol10a-1
ICEberg_412	Tn1806
ICEberg_413	ICEF-IA(M64)
ICEberg_414	ICEF-IIIA1(M64)
ICEberg_415	ICEF-IIIA2(M64)
ICEberg_416	ICEF-IIA(M64)
ICEberg_417	ICEF-IIIB(M64)
ICEberg_418	ICEF-IIC(M64)
ICEberg_419	ICEF-IIB(M64)
ICEberg_420	ICEMboHb1-1
ICEberg_421	ICEM
ICEberg_422	ICEMmysMmYCp235
ICEberg_423	6180-RD.0
ICEberg_424	ICESauMu3-1
ICEberg_425	ICESpsED99-1
ICEberg_426	Tn5801(B6)
ICEberg_427	Tn6086
ICEberg_428	ICESauJKD6008-2
ICEberg_429	ICESauT0131-2
ICEberg_430	ICESauTW20-2
ICEberg_431	ICESpnJJA-1
ICEberg_432	ICESpnD39-1
ICEberg_433	ICESpnR6-1
ICEberg_434	ICESpnTIGR4-1
ICEberg_435	ICESpnP1031-2
ICEberg_1	BTF-37
ICEberg_1	BTF-37
ICEberg_3	CTnDOT
ICEberg_3	CTnDOT
ICEberg_3	CTnDOT
ICEberg_3	CTnDOT
ICEberg_8	ICEVchBan1
ICEberg_8	ICEVchBan1
ICEberg_9	ICEVchBan2
ICEberg_9	ICEVchBan2
ICEberg_10	ICEVchBan3
ICEberg_10	ICEVchBan3
ICEberg_11	ICEVchBan4
ICEberg_11	ICEVchBan4
ICEberg_13	ICEVchBan6
ICEberg_13	ICEVchBan6
ICEberg_14	ICEVchBan7
ICEberg_14	ICEVchBan7
ICEberg_18	ICEVchInd1
ICEberg_18	ICEVchInd1
ICEberg_19	ICEVchInd2
ICEberg_19	ICEVchInd2
ICEberg_20	ICEVchInd3
ICEberg_20	ICEVchInd3
ICEberg_34	ICEVchSL1
ICEberg_34	ICEVchSL1
ICEberg_35	ICEVchVie1
ICEberg_41	ICEPmiJpn1
ICEberg_41	ICEPmiJpn1
ICEberg_41	ICEPmiJpn1
ICEberg_41	ICEPmiJpn1
ICEberg_41	ICEPmiJpn1
ICEberg_41	ICEPmiJpn1
ICEberg_41	ICEPmiJpn1
ICEberg_42	pMERPH
ICEberg_42	pMERPH
ICEberg_42	pMERPH
ICEberg_42	pMERPH
ICEberg_42	pMERPH
ICEberg_42	pMERPH
ICEberg_42	pMERPH
ICEberg_42	pMERPH
ICEberg_57	ICEclc(JS705)
ICEberg_63	CTn86
ICEberg_63	CTn86
ICEberg_65	CTnGERM1
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_73	ICEF-II
ICEberg_75	ICEMlSym(R7A)
ICEberg_75	ICEMlSym(R7A)
ICEberg_75	ICEMlSym(R7A)
ICEberg_75	ICEMlSym(R7A)
ICEberg_89	SXT(ET)
ICEberg_91	Tn1545
ICEberg_91	Tn1545
ICEberg_93	TcrEmr7853
ICEberg_95	Tn5252(partofTn5253)
ICEberg_96	Tn5276
ICEberg_96	Tn5276
ICEberg_96	Tn5276
ICEberg_101	Tn5385
ICEberg_104	Tn6009
ICEberg_104	Tn6009
ICEberg_105	Tn916S
ICEberg_107	TnB1230
ICEberg_109	R997
ICEberg_109	R997
ICEberg_109	R997
ICEberg_109	R997
ICEberg_109	R997
ICEberg_109	R997
ICEberg_109	R997
ICEberg_109	R997
ICEberg_110	bph-sal
ICEberg_110	bph-sal
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_117	pSAM2
ICEberg_124	pRS01
ICEberg_125	CW459tet(M)
ICEberg_136	ICEVchLao1
ICEberg_136	ICEVchLao1
ICEberg_136	ICEVchLao1
ICEberg_139	ICEVchVie0
ICEberg_142	R392
ICEberg_144	R705
ICEberg_144	R705
ICEberg_144	R705
ICEberg_148	SXT(HN1)
ICEberg_149	ICEVflH-08942
ICEberg_149	ICEVflH-08942
ICEberg_151	pSG1
ICEberg_151	pSG1
ICEberg_164	ICEVchNEV2
ICEberg_167	Tn6111
ICEberg_168	Tn6110
ICEberg_169	Tn6107
ICEberg_170	Tn6103
ICEberg_171	Tn6073
ICEberg_243	ICELlapAA211
ICEberg_244	ICELlapAA291
ICEberg_245	ICESau8797
ICEberg_246	ICESau21995
ICEberg_247	ICESau35366
ICEberg_248	ICESau7413093
ICEberg_249	ICESau7512166
ICEberg_250	ICESau7312330
ICEberg_251	ICESau9877324
ICEberg_252	ICESau35679
ICEberg_253	ICESau7412791
ICEberg_254	ICESau7215311
ICEberg_255	ICESausw356
ICEberg_256	ICESau7711730
ICEberg_257	ICESau7413714
ICEberg_258	ICESau7512986
ICEberg_259	ICESau7612628
ICEberg_260	ICESau35414
ICEberg_261	ICESau1591
ICEberg_262	ICESauST398
ICEberg_263	ICESau34801
ICEberg_264	ICESau617
ICEberg_265	ICESau5377
ICEberg_266	ICESauusa42
ICEberg_267	ICESau7611280
ICEberg_268	ICESau7215190
ICEberg_269	ICESau22034
ICEberg_270	ICESau5331
ICEberg_271	ICESau4865
ICEberg_272	ICESau4520
ICEberg_273	SXT(KN14)
ICEberg_274	SXT(MCV09)
ICEberg_275	ICEVchVC115
ICEberg_276	ICEVchVC124
ICEberg_277	ICEVchMO45
ICEberg_278	ICEVchVE150
ICEberg_279	ICEVchVC149
ICEberg_280	ICEVchVC132
ICEberg_281	ICEVchVC120
ICEberg_282	ICEVchVE140
ICEberg_283	ICEVchVC108
ICEberg_284	ICEVchVE47
ICEberg_285	ICEVchVC138
ICEberg_286	ICEVchVE146
ICEberg_287	ICEEcoJ53
ICEberg_330	Tn3872
ICEberg_362	Tn1311
ICEberg_363	ICESpnA213
ICEberg_365	ICESpnKD6
ICEberg_365	ICESpnKD6
ICEberg_365	ICESpnKD6
ICEberg_365	ICESpnKD6
ICEberg_366	ICESpnN24
ICEberg_366	ICESpnN24
ICEberg_366	ICESpnN24
ICEberg_366	ICESpnN24
ICEberg_367	ICESpnJ93183
ICEberg_367	ICESpnJ93183
ICEberg_367	ICESpnJ93183
ICEberg_367	ICESpnJ93183
ICEberg_368	ICESpnJ93292
ICEberg_368	ICESpnJ93292
ICEberg_368	ICESpnJ93292
ICEberg_368	ICESpnJ93292
ICEberg_369	ICESpn2531
ICEberg_369	ICESpn2531
ICEberg_369	ICESpn2531
ICEberg_369	ICESpn2531
ICEberg_370	Tn5252(SP1000)
ICEberg_370	Tn5252(SP1000)
ICEberg_371	Tn5252-like
ICEberg_382	Tn5382(5-F9)
ICEberg_383	ICEEfa9830414
ICEberg_404	Tn5301
ICEberg_404	Tn5301
ICEberg_214	AICESco3250
ICEberg_215	AICESco5349
ICEberg_394	Tn6098
ICEberg_436	PPHGI-1
ICEberg_180	ICEKpnHS11286-1
ICEberg_437	ICEKpnHS11286-2
